iter	Passed	Remaining
1163	29160	20943
1164	29184	20917
1165	29210	20893
1166	29233	20866
1167	29259	20842
1168	29283	20816
1169	29304	20788
1170	29326	20761
1171	29351	20736
1172	29378	20712
1173	29411	20693
1174	29438	20669
1175	29464	20645
1176	29489	20619
1177	29514	20595
1178	29541	20571
1179	29566	20546
1180	29595	20523
1181	29623	20500
1182	29654	20480
1183	29679	20454
1184	29704	20429
1185	29729	20404
1186	29753	20378
1187	29774	20351
1188	29797	20324
1189	29820	20297
1190	29851	20277
1191	29876	20252
1192	29904	20228
1193	29924	20200
1194	29946	20173
1195	29971	20147
1196	29992	20120
1197	30018	20096
1198	30045	20072
1199	30065	20043
1200	30092	20020
1201	30121	19997
1202	30149	19974
1203	30170	19946
1204	30196	19921
1205	30221	19897
1206	30244	19870
1207	30269	19845
1208	30290	19818
1209	30314	19792
1210	30335	19764
1211	30359	19738
1212	30384	19713
1213	30409	19688
1214	30446	19671
1215	30467	19643
1216	30493	19619
1217	30515	19592
1218	30536	19564
1219	30563	19540
1220	30587	19514
1221	30608	19487
1222	30630	19460
1223	30656	19435
1224	30676	19407
1225	30702	19383
1226	30723	19355
1227	30745	19328
1228	30768	19302
1229	30791	19275
1230	30812	19248
1231	30835	19222
1232	30856	19194
1233	30880	19169
1234	30905	19143
1235	30931	19119
1236	30952	19091
1237	30977	19066
1238	30997	19039
1239	31023	19014
1240	31044	18987
1241	31066	18960
1242	31087	18932
1243	31111	18906
1244	31133	18880
1245	31161	18857
1246	31179	18827
1247	31206	18804
1248	31225	18775
1249	31249	18749
1250	31274	18724
1251	31295	18697
1252	31316	18669
1253	31340	18644
1254	31361	18617
1255	31387	18592
1256	31408	18565
1257	31436	18542
1258	31459	18515
1259	31488	18493
1260	31512	18467
1261	31534	18440
1262	31560	18416
1263	31585	18391
1264	31605	18363
1265	31628	18337
1266	31649	18310
1267	31675	18286
1268	31700	18260
1269	31724	18235
1270	31745	18208
1271	31772	18184
1272	31793	18156
1273	31818	18132
1274	31842	18106
1275	31868	18082
1276	31889	18054
1277	31914	18029
1278	31936	18003
1279	31961	17978
1280	31986	17953
1281	32008	17926
1282	32028	17899
1283	32053	17874
1284	32074	17847
1285	32097	17820
1286	32123	17796
1287	32144	17769
1288	32170	17744
1289	32196	17720
1290	32219	17694
1291	32245	17669
1292	32268	17644
1293	32289	17616
1294	32313	17591
1295	32335	17565
1296	32356	17537
1297	32383	17514
1298	32408	17489
1299	32435	17465
1300	32462	17441
1301	32499	17422
1302	32530	17401
1303	32559	17378
1304	32588	17355
1305	32615	17331
1306	32642	17307
1307	32664	17281
1308	32687	17255
1309	32711	17229
1310	32735	17204
1311	32761	17179
1312	32785	17154
1313	32807	17127
1314	32832	17102
1315	32860	17079
1316	32882	17053
1317	32909	17029
1318	32935	17004
1319	32962	16980
1320	32988	16956
1321	33015	16932
1322	33037	16906
1323	33060	16879
1324	33081	16852
1325	33107	16828
1326	33135	16804
1327	33165	16782
1328	33194	16759
1329	33224	16736
1330	33250	16712
1331	33272	16685
1332	33297	16661
1333	33323	16636
1334	33345	16610
1335	33368	16584
1336	33389	16557
1337	33412	16531
1338	33439	16507
1339	33462	16481
1340	33485	16455
1341	33511	16431
1342	33533	16404
1343	33597	16398
1344	33629	16377
1345	33657	16353
1346	33680	16327
1347	33700	16300
1348	33720	16272
1349	33746	16248
1350	33773	16224
1351	33796	16198
1352	33820	16172
1353	33845	16147
1354	33866	16121
1355	33888	16094
1356	33910	16068
1357	33935	16043
1358	33964	16020
1359	33987	15994
1360	34011	15968
1361	34032	15941
1362	34053	15914
1363	34071	15886
1364	34097	15862
1365	34116	15834
1366	34143	15810
1367	34163	15783
1368	34189	15758
1369	34210	15731
1370	34236	15707
